case_id,shape_mismatch,Dice_Myocardium,Dice_LA,Dice_LV,Dice_RA,Dice_RV,Dice_Aorta,Dice_PA,Dice_LAA,Dice_Coronary,Dice_PV,CC_Myocardium,CC_LA,CC_LV,CC_RA,CC_RV,CC_Aorta,CC_PA,CC_LAA,CC_Coronary,CC_PV,Conn_PV_LA,Conn_LAA_LA,Conn_Cor_MyoAo
184,False,0.9458084362247633,0.9756006241955011,0.98188936897082,0.9737510316436616,0.9448054365913796,0.9581859176786481,0.9209069221055266,0.6792335311790137,0.40725637181409297,0.8689774683117504,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
687,False,0.9444820434738685,0.9674141967441314,0.9813015100219651,0.9734168300020201,0.954054158338671,0.9571542819191267,0.885267464024166,0.7673360403204146,0.4630528525952182,0.8808691729120794,1,1,1,1,1,2,1,1,1,2,1.0,1.0,1.0
580,False,0.9527449513031587,0.9769208779899993,0.9841345962967839,0.9739083657723838,0.9575215346804692,0.9490422806379237,0.8449740424960294,0.8570125060383232,0.5744180669030369,0.8653841238777142,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
343,False,0.9492644106931301,0.9720555535862949,0.9763362474015435,0.9607991993794006,0.9333222296246947,0.9532154439024905,0.9153223804047061,0.7825489575533959,0.4082844419311515,0.8567334742875116,1,1,1,1,1,2,1,1,2,3,1.0,1.0,1.0
367,False,0.9488979736935655,0.976094330194526,0.9847462853602584,0.9710805859798328,0.9443601570362282,0.9569861850455851,0.8991708245091353,0.8120925271648557,0.33909341347357874,0.857810143083885,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
66,False,0.9410704943375593,0.9763915793822604,0.9822617711553496,0.9720275602143572,0.9481708547445452,0.9495567974258352,0.9100232448755615,0.6093525867839724,0.35970116457921336,0.8629667047838975,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
237,False,0.9436437158978896,0.9721610953156485,0.9793324181525851,0.9729741807903293,0.9459041681383108,0.9530500285555875,0.8665013282019634,0.8199620717945959,0.43097611978233996,0.875992791092798,1,2,1,1,1,2,2,1,1,3,1.0,1.0,1.0
33,False,0.9570576393164857,0.9770001241670461,0.9733948431234807,0.9751041394821613,0.9262959666489772,0.9534091316153345,0.9069589121823655,0.7422040981995066,0.3492154823289884,0.8730684326710817,1,1,1,1,1,2,1,1,2,2,1.0,1.0,0.5
673,False,0.9349013727509875,0.9721336209140878,0.9765429601890324,0.975213948833174,0.9428229466332323,0.953318741151214,0.9079764493312056,0.768730283911672,0.2895459930928433,0.8469917391622195,1,2,1,1,1,2,1,1,1,3,1.0,1.0,1.0
392,False,0.9449128488707255,0.9720853521432199,0.978817525637381,0.9674133565280356,0.9505866880751609,0.9571435099688448,0.9006574141709277,0.8450673900874134,0.3777953646127756,0.8595497101773585,1,1,1,1,1,2,2,1,1,2,1.0,1.0,1.0
581,False,0.947205704664752,0.9784363554033952,0.9761807762858307,0.9744698976749231,0.9478570942851009,0.9579292385057471,0.8969937689793945,0.833659721364596,0.454276835294717,0.8686724526356296,1,1,1,1,1,2,1,1,2,2,1.0,1.0,1.0
118,False,0.9503963997590452,0.9738884484174297,0.9777059225240426,0.9759273761648231,0.9481092536835845,0.9591899462148239,0.8964241315658394,0.6328656414861377,0.5291728033405085,0.8649966689748647,1,1,1,1,1,2,1,1,1,3,1.0,1.0,1.0
422,False,0.9450961435864936,0.9708704230331633,0.9829809608969085,0.9782065811949933,0.9536956864516685,0.9596786777701702,0.8969391778884724,0.7710005600149338,0.4743207657252787,0.8455251344521999,2,1,1,1,1,2,1,1,2,3,1.0,1.0,1.0
349,False,0.951980842235427,0.9699658173224815,0.9827557998756585,0.9762280780682948,0.9481023454584178,0.9545635246820403,0.9154217593311,0.7490880667014069,0.5184424726846081,0.8883861351503445,1,1,1,1,1,2,1,1,2,3,1.0,1.0,1.0
